Account_ID,Customer_ID,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Credit_Mix
ACC_CUST00001,CUST00001,3,4,3,4,Good
ACC_CUST00002,CUST00002,2,4,6,1,Good
ACC_CUST00003,CUST00003,1,5,8,3,Good
ACC_CUST00004,CUST00004,2,5,4,1,Good
ACC_CUST00005,CUST00005,7,5,5,0,Standard
ACC_CUST00006,CUST00006,4,5,8,0,Good
ACC_CUST00007,CUST00007,0,1,8,2,Good
ACC_CUST00008,CUST00008,8,7,15,3,Standard
ACC_CUST00009,CUST00009,2,5,7,3,Good
ACC_CUST00010,CUST00010,0,5,12,2,Good
ACC_CUST00011,CUST00011,5,5,20,3,Standard
ACC_CUST00012,CUST00012,3,6,1,2,Good
ACC_CUST00013,CUST00013,6,4,14,3,Standard
ACC_CUST00014,CUST00014,6,5,32,7,Standard
ACC_CUST00015,CUST00015,8,7,14,5,Standard
ACC_CUST00016,CUST00016,6,6,7,2,Standard
ACC_CUST00017,CUST00017,6,7,16,0,Standard
ACC_CUST00018,CUST00018,6,7,17,6,Standard
ACC_CUST00019,CUST00019,6,6,12,0,Standard
ACC_CUST00020,CUST00020,6,7,17,5,Bad
ACC_CUST00021,CUST00021,7,5,17,0,Standard
ACC_CUST00022,CUST00022,7,5,17,5,Bad
ACC_CUST00023,CUST00023,4,4,1,0,Good
ACC_CUST00024,CUST00024,5,5,10,3,Standard
ACC_CUST00025,CUST00025,9,8,31,8,Bad
ACC_CUST00026,CUST00026,8,6,14,3,Standard
ACC_CUST00027,CUST00027,9,8,25,7,Standard
ACC_CUST00028,CUST00028,3,3,18,1,Standard
ACC_CUST00029,CUST00029,6,3,15,3,Standard
ACC_CUST00030,CUST00030,10,8,25,6,Bad
ACC_CUST00031,CUST00031,1,5,1,2,Good
ACC_CUST00032,CUST00032,7,7,19,6,Bad
ACC_CUST00033,CUST00033,4,3,10,2,Standard
ACC_CUST00034,CUST00034,8,5,9,6,Standard
ACC_CUST00035,CUST00035,2,7,10,3,Good
ACC_CUST00036,CUST00036,3,6,15,1,Standard
ACC_CUST00038,CUST00038,4,5,17,4,Standard
ACC_CUST00039,CUST00039,8,5,32,4,Standard
ACC_CUST00040,CUST00040,5,7,5,2,Standard
ACC_CUST00041,CUST00041,5,5,13,0,Standard
ACC_CUST00042,CUST00042,7,9,31,6,Bad
ACC_CUST00043,CUST00043,6,3,14,4,Standard
ACC_CUST00044,CUST00044,3,4,5,3,Good
ACC_CUST00045,CUST00045,4,2,3,0,Good
ACC_CUST00047,CUST00047,7,10,33,9,Bad
ACC_CUST00048,CUST00048,2,6,8,2,Good
ACC_CUST00049,CUST00049,10,9,25,9,Bad
ACC_CUST00050,CUST00050,8,4,11,2,Standard
ACC_CUST00051,CUST00051,7,6,31,6,Standard
ACC_CUST00053,CUST00053,8,5,21,8,Bad
ACC_CUST00054,CUST00054,4,3,11,0,Good
ACC_CUST00055,CUST00055,6,3,7,7,Standard
ACC_CUST00056,CUST00056,8,7,6,4,Standard
ACC_CUST00057,CUST00057,5,3,17,0,Standard
ACC_CUST00058,CUST00058,10,7,20,9,Bad
ACC_CUST00060,CUST00060,8,5,31,3,Bad
ACC_CUST00061,CUST00061,10,8,20,7,Bad
ACC_CUST00062,CUST00062,7,3,18,4,Standard
ACC_CUST00063,CUST00063,5,2,8,3,Good
ACC_CUST00064,CUST00064,5,1,4,0,Good
ACC_CUST00065,CUST00065,5,7,5,7,Standard
ACC_CUST00066,CUST00066,8,6,32,5,Standard
ACC_CUST00067,CUST00067,8,7,28,6,Bad
ACC_CUST00068,CUST00068,8,5,15,4,Bad
ACC_CUST00069,CUST00069,5,6,5,4,Standard
ACC_CUST00070,CUST00070,8,8,24,6,Bad
ACC_CUST00071,CUST00071,0,3,7,2,Good
ACC_CUST00072,CUST00072,5,4,14,7,Standard
ACC_CUST00073,CUST00073,2,3,9,2,Good
ACC_CUST00074,CUST00074,8,9,31,5,Bad
ACC_CUST00075,CUST00075,0,3,11,1,Good
ACC_CUST00077,CUST00077,8,5,17,0,Standard
ACC_CUST00078,CUST00078,1,3,1,4,Good
ACC_CUST00079,CUST00079,6,5,5,1,Standard
ACC_CUST00080,CUST00080,6,6,29,7,Bad
ACC_CUST00081,CUST00081,8,4,16,2,Standard
ACC_CUST00082,CUST00082,3,3,6,1,Good
ACC_CUST00083,CUST00083,7,7,11,4,Standard
ACC_CUST00084,CUST00084,8,5,15,2,Standard
ACC_CUST00085,CUST00085,7,5,12,3,Standard
ACC_CUST00087,CUST00087,6,8,31,5,Bad
ACC_CUST00088,CUST00088,1,7,5,4,Good
ACC_CUST00089,CUST00089,7,3,11,4,Standard
ACC_CUST00090,CUST00090,3,5,6,0,Good
ACC_CUST00091,CUST00091,3,3,18,0,Standard
ACC_CUST00092,CUST00092,2,1,4,0,Good
ACC_CUST00093,CUST00093,4,3,6,1,Standard
ACC_CUST00094,CUST00094,6,5,7,0,Standard
ACC_CUST00095,CUST00095,7,10,21,8,Bad
ACC_CUST00096,CUST00096,9,9,18,5,Bad
ACC_CUST00097,CUST00097,5,6,12,2,Good
ACC_CUST00098,CUST00098,3,4,15,4,Standard
ACC_CUST00099,CUST00099,3,6,6,4,Standard
ACC_CUST00100,CUST00100,6,8,19,5,Bad
ACC_CUST00101,CUST00101,3,4,11,1,Good
ACC_CUST00102,CUST00102,3,5,12,4,Standard
ACC_CUST00103,CUST00103,10,5,32,4,Standard
ACC_CUST00104,CUST00104,7,3,5,1,Standard
ACC_CUST00105,CUST00105,7,5,25,6,Bad
ACC_CUST00106,CUST00106,9,6,32,4,Bad
ACC_CUST00107,CUST00107,5,5,11,0,Standard
ACC_CUST00108,CUST00108,1,7,3,3,Good
ACC_CUST00109,CUST00109,7,5,12,0,Standard
ACC_CUST00110,CUST00110,5,5,9,1,Good
ACC_CUST00111,CUST00111,5,3,3,3,Good
ACC_CUST00112,CUST00112,4,3,6,3,Good
ACC_CUST00113,CUST00113,0,5,10,0,Good
ACC_CUST00114,CUST00114,10,6,23,6,Bad
ACC_CUST00115,CUST00115,6,6,7,2,Standard
ACC_CUST00116,CUST00116,2,2,12,2,Good
ACC_CUST00117,CUST00117,8,3,6,4,Standard
ACC_CUST00118,CUST00118,6,9,34,8,Bad
