Customer_ID,Age,Occupation,Annual_Income,Monthly_Inhand_Salary
CUST00001,23,Scientist,19114.12,1824.843333
CUST00002,28,Teacher,34847.84,3037.986667
CUST00003,34,Engineer,143162.64,12187.22
CUST00004,54,Entrepreneur,30689.89,2612.490833
CUST00005,21,Developer,35547.71,2853.309167
CUST00006,31,Lawyer,73928.46,5988.705
CUST00007,33,Lawyer,131313.4,11242.78333
CUST00008,30,Media_Manager,34081.38,2611.115
CUST00009,23,Doctor,114838.41,9843.8675
CUST00010,44,Journalist,31370.8,2825.233333
CUST00011,40,Teacher,33751.27,2948.605833
CUST00012,32,Engineer,88640.24,7266.686667
CUST00013,35,Entrepreneur,54392.16,4766.68
CUST00014,39,Manager,8701.545,519.12875
CUST00015,36,Entrepreneur,25546.26,2415.855
CUST00016,30,Scientist,31993.78,2942.148333
CUST00017,20,Accountant,92047.08,7591.59
CUST00018,45,Teacher,32284.62,2898.385
CUST00019,26,Musician,97791.42,8079.285
CUST00020,31,Entrepreneur,19300.34,1512.361667
CUST00021,41,Musician,19514.88,1828.24
CUST00022,41,Media_Manager,10183.015,1074.584583
CUST00023,19,Entrepreneur,106733.13,8873.4275
CUST00024,31,Lawyer,12600.445,782.0370833
CUST00025,34,Mechanic,57983.12,4720.926667
CUST00026,48,Entrepreneur,20787.69,1999.3075
CUST00027,30,Writer,34290.12,2697.51
CUST00028,32,Accountant,43070.24,3622.186667
CUST00029,40,Architect,28572.39,2210.0325
CUST00030,37,Manager,39641.54,3007.461667
CUST00031,54,Scientist,20186.02,1684.168333
CUST00032,43,Musician,18627.64,1387.303333
CUST00033,21,Engineer,12986.745,959.22875
CUST00034,43,Writer,58317.0,4664.75
CUST00035,36,Scientist,42171.98,3764.331667
CUST00036,36,Manager,71681.4,5799.45
CUST00038,19,Engineer,72559.36,6284.613333
CUST00039,36,Musician,15566.02,1423.168333
CUST00040,18,Developer,66567.32,5800.276667
CUST00041,32,Media_Manager,12909.895,853.8245833
CUST00042,33,Accountant,30788.44,2623.703333
CUST00043,42,Architect,20574.47,1740.539167
CUST00044,21,Lawyer,148699.32,12432.61
CUST00045,19,Musician,85554.03,7185.5025
CUST00047,27,Architect,14165.23,1057.435833
CUST00048,30,Teacher,87215.68,7489.973333
CUST00049,43,Lawyer,81842.28,6810.19
CUST00050,38,Doctor,95956.5,8279.375
CUST00051,25,Manager,49967.01,4091.9175
CUST00053,43,Developer,14129.76,1012.48
CUST00054,42,Developer,123732.32,10416.02667
CUST00055,36,Writer,17251.38,1654.615
CUST00056,22,Entrepreneur,36822.29,3132.524167
CUST00057,25,Doctor,80108.31,6866.6925
CUST00058,20,Scientist,69977.6,5978.466667
CUST00060,45,Journalist,41746.76,3651.896667
CUST00061,21,Media_Manager,19981.6,1459.133333
CUST00062,18,Lawyer,73737.36,5936.78
CUST00063,33,Musician,88362.46,7255.538333
CUST00064,45,Entrepreneur,118248.6,10115.05
CUST00065,26,Scientist,60162.1,5197.508333
CUST00066,17,Musician,75273.24,6552.77
CUST00067,18,Media_Manager,54820.89,4295.4075
CUST00068,42,Entrepreneur,58674.66,4824.555
CUST00069,30,Architect,30390.44,2721.536667
CUST00070,42,Doctor,45207.54,3507.295
CUST00071,18,Scientist,144546.72,11809.56
CUST00072,38,Engineer,30346.35,2651.8625
CUST00073,46,Mechanic,18681.465,1584.78875
CUST00074,41,Scientist,9841.34,690.1116667
CUST00075,35,Media_Manager,72330.98,6300.581667
CUST00077,19,Mechanic,34106.78,2767.231667
CUST00078,24,Teacher,129067.59,10795.6325
CUST00079,34,Architect,17001.34,1214.778333
CUST00080,21,Accountant,44719.17,3969.5975
CUST00081,47,Accountant,17787.34,1242.278333
CUST00082,42,Teacher,103353.06,8527.755
CUST00083,38,Journalist,31021.24,2756.103333
CUST00084,36,Journalist,134978.24,11059.18667
CUST00085,28,Writer,39800.12,3047.676667
CUST00087,21,Architect,66105.4,5653.783333
CUST00088,28,Mechanic,15398.95,1548.245833
CUST00089,18,Developer,27070.07,2518.839167
CUST00090,53,Engineer,17992.775,1769.397917
CUST00091,55,Musician,139354.48,10872.26506
CUST00092,22,Teacher,18305.25,1557.4375
CUST00093,25,Journalist,27865.26,2606.105
CUST00094,36,Architect,23404.86,1899.405
CUST00095,33,Musician,14205.09,1086.7575
CUST00096,28,Scientist,62320.56,5068.38
CUST00097,25,Manager,43758.34,3454.528333
CUST00098,20,Writer,144881.68,11877.47333
CUST00099,38,Media_Manager,108147.3,8926.275
CUST00100,27,Lawyer,17759.1,1533.925
CUST00101,37,Teacher,85328.73,6858.7275
CUST00102,26,Writer,134321.44,11064.45333
CUST00103,24,Lawyer,61008.0,5235.0
CUST00104,19,Developer,28665.76,2582.813333
CUST00105,18,Lawyer,56803.71,4620.6425
CUST00106,31,Architect,38364.82,2904.068333
CUST00107,21,Lawyer,66528.24,5733.02
CUST00108,55,Doctor,19403.405,1904.950417
CUST00109,19,Journalist,31122.79,2761.565833
CUST00110,19,Architect,15015.4,1213.283333
CUST00111,34,Engineer,19777.05,1728.0875
