Loan_ID,Customer_ID,Loan_Type
LOAN_000001,CUST00001,Auto Loan
LOAN_000002,CUST00001,Credit-Builder Loan
LOAN_000003,CUST00001,Personal Loan
LOAN_000004,CUST00001,Home Equity Loan
LOAN_000005,CUST00002,Credit-Builder Loan
LOAN_000006,CUST00003,Auto Loan
LOAN_000007,CUST00003,Auto Loan
LOAN_000008,CUST00003,Not Specified
LOAN_000009,CUST00004,Not Specified
LOAN_000010,CUST00005,No Loan
LOAN_000011,CUST00006,No Loan
LOAN_000012,CUST00007,Credit-Builder Loan
LOAN_000013,CUST00007,Mortgage Loan
LOAN_000014,CUST00008,Not Specified
LOAN_000015,CUST00008,Auto Loan
LOAN_000016,CUST00008,Student Loan
LOAN_000017,CUST00009,Personal Loan
LOAN_000018,CUST00009,Debt Consolidation Loan
LOAN_000019,CUST00009,Auto Loan
LOAN_000020,CUST00010,Not Specified
LOAN_000021,CUST00010,Payday Loan
LOAN_000022,CUST00011,Credit-Builder Loan
LOAN_000023,CUST00011,Personal Loan
LOAN_000024,CUST00011,Auto Loan
LOAN_000025,CUST00012,Payday Loan
LOAN_000026,CUST00012,Payday Loan
LOAN_000027,CUST00013,Not Specified
LOAN_000028,CUST00013,Student Loan
LOAN_000029,CUST00013,Personal Loan
LOAN_000030,CUST00014,Personal Loan
LOAN_000031,CUST00014,Payday Loan
LOAN_000032,CUST00014,Student Loan
LOAN_000033,CUST00014,Auto Loan
LOAN_000034,CUST00014,Home Equity Loan
LOAN_000035,CUST00014,Student Loan
LOAN_000036,CUST00014,Payday Loan
LOAN_000037,CUST00015,Not Specified
LOAN_000038,CUST00015,Student Loan
LOAN_000039,CUST00015,Student Loan
LOAN_000040,CUST00015,Credit-Builder Loan
LOAN_000041,CUST00015,Auto Loan
LOAN_000042,CUST00016,Payday Loan
LOAN_000043,CUST00016,Home Equity Loan
LOAN_000044,CUST00017,No Loan
LOAN_000045,CUST00018,Credit-Builder Loan
LOAN_000046,CUST00018,Not Specified
LOAN_000047,CUST00018,Mortgage Loan
LOAN_000048,CUST00018,Payday Loan
LOAN_000049,CUST00018,Credit-Builder Loan
LOAN_000050,CUST00018,Personal Loan
LOAN_000051,CUST00019,No Loan
LOAN_000052,CUST00020,Mortgage Loan
LOAN_000053,CUST00020,Debt Consolidation Loan
LOAN_000054,CUST00020,Payday Loan
LOAN_000055,CUST00020,Auto Loan
LOAN_000056,CUST00020,Not Specified
LOAN_000057,CUST00021,No Loan
LOAN_000058,CUST00022,Credit-Builder Loan
LOAN_000059,CUST00022,Mortgage Loan
LOAN_000060,CUST00022,Mortgage Loan
LOAN_000061,CUST00022,Credit-Builder Loan
LOAN_000062,CUST00022,Student Loan
LOAN_000063,CUST00023,No Loan
LOAN_000064,CUST00024,Not Specified
LOAN_000065,CUST00024,Student Loan
LOAN_000066,CUST00024,Student Loan
LOAN_000067,CUST00025,Payday Loan
LOAN_000068,CUST00025,Not Specified
LOAN_000069,CUST00025,Credit-Builder Loan
LOAN_000070,CUST00025,Debt Consolidation Loan
LOAN_000071,CUST00025,Payday Loan
LOAN_000072,CUST00025,Not Specified
LOAN_000073,CUST00025,Student Loan
LOAN_000074,CUST00025,Student Loan
LOAN_000075,CUST00026,Home Equity Loan
LOAN_000076,CUST00026,Credit-Builder Loan
LOAN_000077,CUST00026,Home Equity Loan
LOAN_000078,CUST00027,Home Equity Loan
LOAN_000079,CUST00027,Credit-Builder Loan
LOAN_000080,CUST00027,Credit-Builder Loan
LOAN_000081,CUST00027,Home Equity Loan
LOAN_000082,CUST00027,Debt Consolidation Loan
LOAN_000083,CUST00027,Mortgage Loan
LOAN_000084,CUST00027,Auto Loan
LOAN_000085,CUST00028,Debt Consolidation Loan
LOAN_000086,CUST00029,Payday Loan
LOAN_000087,CUST00029,Not Specified
LOAN_000088,CUST00029,Auto Loan
LOAN_000089,CUST00030,Auto Loan
LOAN_000090,CUST00030,Student Loan
LOAN_000091,CUST00030,Payday Loan
LOAN_000092,CUST00030,Payday Loan
LOAN_000093,CUST00030,Mortgage Loan
LOAN_000094,CUST00030,Debt Consolidation Loan
LOAN_000095,CUST00031,Auto Loan
LOAN_000096,CUST00031,Home Equity Loan
LOAN_000097,CUST00032,Payday Loan
LOAN_000098,CUST00032,Not Specified
LOAN_000099,CUST00032,Student Loan
LOAN_000100,CUST00032,Credit-Builder Loan
LOAN_000101,CUST00032,Credit-Builder Loan
LOAN_000102,CUST00032,Payday Loan
LOAN_000103,CUST00033,Mortgage Loan
LOAN_000104,CUST00033,Payday Loan
LOAN_000105,CUST00034,Mortgage Loan
LOAN_000106,CUST00034,Personal Loan
LOAN_000107,CUST00034,Home Equity Loan
LOAN_000108,CUST00034,Personal Loan
LOAN_000109,CUST00034,Mortgage Loan
LOAN_000110,CUST00034,Personal Loan
LOAN_000111,CUST00035,Auto Loan
LOAN_000112,CUST00035,Auto Loan
LOAN_000113,CUST00035,Not Specified
LOAN_000114,CUST00036,Not Specified
LOAN_000115,CUST00038,Home Equity Loan
LOAN_000116,CUST00038,Mortgage Loan
LOAN_000117,CUST00038,Credit-Builder Loan
LOAN_000118,CUST00038,Payday Loan
LOAN_000119,CUST00039,Home Equity Loan
LOAN_000120,CUST00039,Credit-Builder Loan
LOAN_000121,CUST00039,Personal Loan
LOAN_000122,CUST00039,Mortgage Loan
LOAN_000123,CUST00040,Mortgage Loan
LOAN_000124,CUST00040,Not Specified
LOAN_000125,CUST00041,No Loan
LOAN_000126,CUST00042,Credit-Builder Loan
LOAN_000127,CUST00042,Payday Loan
LOAN_000128,CUST00042,Home Equity Loan
LOAN_000129,CUST00042,Credit-Builder Loan
LOAN_000130,CUST00042,Personal Loan
LOAN_000131,CUST00042,Credit-Builder Loan
LOAN_000132,CUST00043,Credit-Builder Loan
LOAN_000133,CUST00043,Personal Loan
LOAN_000134,CUST00043,Credit-Builder Loan
LOAN_000135,CUST00043,Home Equity Loan
LOAN_000136,CUST00044,Personal Loan
LOAN_000137,CUST00044,Mortgage Loan
LOAN_000138,CUST00044,Payday Loan
LOAN_000139,CUST00045,No Loan
LOAN_000140,CUST00047,Credit-Builder Loan
LOAN_000141,CUST00047,Personal Loan
LOAN_000142,CUST00047,Credit-Builder Loan
LOAN_000143,CUST00047,Mortgage Loan
LOAN_000144,CUST00047,Personal Loan
LOAN_000145,CUST00047,Payday Loan
LOAN_000146,CUST00047,Payday Loan
LOAN_000147,CUST00047,Payday Loan
LOAN_000148,CUST00047,Student Loan
LOAN_000149,CUST00048,Auto Loan
LOAN_000150,CUST00048,Payday Loan
LOAN_000151,CUST00049,Student Loan
LOAN_000152,CUST00049,Auto Loan
LOAN_000153,CUST00049,Personal Loan
LOAN_000154,CUST00049,Auto Loan
LOAN_000155,CUST00049,Credit-Builder Loan
LOAN_000156,CUST00049,Payday Loan
LOAN_000157,CUST00049,Home Equity Loan
LOAN_000158,CUST00049,Auto Loan
LOAN_000159,CUST00049,Personal Loan
LOAN_000160,CUST00050,Personal Loan
LOAN_000161,CUST00050,Student Loan
LOAN_000162,CUST00051,Auto Loan
LOAN_000163,CUST00051,Payday Loan
LOAN_000164,CUST00051,Debt Consolidation Loan
LOAN_000165,CUST00051,Debt Consolidation Loan
LOAN_000166,CUST00051,Not Specified
LOAN_000167,CUST00051,Student Loan
LOAN_000168,CUST00053,Student Loan
LOAN_000169,CUST00053,Payday Loan
LOAN_000170,CUST00053,Personal Loan
LOAN_000171,CUST00053,Not Specified
LOAN_000172,CUST00053,Mortgage Loan
LOAN_000173,CUST00053,Student Loan
LOAN_000174,CUST00053,Debt Consolidation Loan
LOAN_000175,CUST00053,Debt Consolidation Loan
LOAN_000176,CUST00054,No Loan
LOAN_000177,CUST00055,Personal Loan
LOAN_000178,CUST00055,Student Loan
LOAN_000179,CUST00055,Home Equity Loan
LOAN_000180,CUST00055,Not Specified
LOAN_000181,CUST00055,Home Equity Loan
LOAN_000182,CUST00055,Home Equity Loan
LOAN_000183,CUST00055,Mortgage Loan
LOAN_000184,CUST00056,Not Specified
LOAN_000185,CUST00056,Personal Loan
LOAN_000186,CUST00056,Credit-Builder Loan
LOAN_000187,CUST00056,Home Equity Loan
LOAN_000188,CUST00057,No Loan
LOAN_000189,CUST00058,Auto Loan
LOAN_000190,CUST00058,Personal Loan
LOAN_000191,CUST00058,Mortgage Loan
LOAN_000192,CUST00058,Auto Loan
LOAN_000193,CUST00058,Student Loan
LOAN_000194,CUST00058,Auto Loan
LOAN_000195,CUST00058,Mortgage Loan
LOAN_000196,CUST00058,Student Loan
LOAN_000197,CUST00058,Auto Loan
LOAN_000198,CUST00060,Mortgage Loan
LOAN_000199,CUST00060,Personal Loan
LOAN_000200,CUST00060,Not Specified
LOAN_000201,CUST00061,Credit-Builder Loan
LOAN_000202,CUST00061,Home Equity Loan
LOAN_000203,CUST00061,Home Equity Loan
LOAN_000204,CUST00061,Student Loan
LOAN_000205,CUST00061,Student Loan
LOAN_000206,CUST00061,Home Equity Loan
LOAN_000207,CUST00061,Credit-Builder Loan
LOAN_000208,CUST00062,Not Specified
LOAN_000209,CUST00062,Credit-Builder Loan
LOAN_000210,CUST00062,Payday Loan
LOAN_000211,CUST00062,Credit-Builder Loan
LOAN_000212,CUST00063,Debt Consolidation Loan
LOAN_000213,CUST00063,Home Equity Loan
LOAN_000214,CUST00063,Personal Loan
LOAN_000215,CUST00064,No Loan
LOAN_000216,CUST00065,Student Loan
LOAN_000217,CUST00065,Student Loan
